Player,Overs,Mdns,Runs,Wkts,SR,Team,Opposition,Ground,Match Date,Scorecard
Shaheen Shah Afridi,10.0,-,45,3,20.0,Pakistan,v South Africa,Chennai,27 Oct 2023,ODI # 4683
TA Boult,10.0,-,77,3,20.0,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
A Zampa,10.0,-,74,3,20.0,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
GD Phillips,10.0,-,37,3,20.0,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
DJ Willey,10.0,2,45,3,20.0,England,v India,Lucknow,29 Oct 2023,ODI # 4686
Mohammad Wasim,10.0,-,60,3,20.0,Pakistan,v New Zealand,Bengaluru,04 Nov 2023,ODI # 4692
A Zampa,10.0,-,21,3,20.0,Australia,v England,Ahmedabad,04 Nov 2023,ODI # 4693
D Madushanka,10.0,1,69,3,20.0,Sri Lanka,v Bangladesh,Delhi,06 Nov 2023,ODI # 4695
Tanzim Hasan Sakib,10.0,-,80,3,20.0,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
BFW de Leede,10.0,-,74,3,20.0,Netherlands,v England,Pune,08 Nov 2023,ODI # 4697
TA Boult,10.0,3,37,3,20.0,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
DJ Willey,10.0,-,56,3,20.0,England,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
Haris Rauf,10.0,-,64,3,20.0,Pakistan,v England,Eden Gardens,11 Nov 2023,ODI # 4701
TG Southee,10.0,-,100,3,20.0,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
MA Starc,10.0,1,34,3,20.0,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
MA Starc,10.0,-,55,3,20.0,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
Hasan Ali,7.0,1,33,2,21.0,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
HH Pandya,7.0,-,43,2,21.0,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
M Jansen,7.0,-,54,2,21.0,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
JJ Bumrah,7.0,1,19,2,21.0,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
PJ Cummins,7.0,-,32,2,21.0,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
