Winner,Margin,Balls Rem,Target,Overs,Max,Opposition,Ground,Match Date,Scorecard
Pakistan,7 wickets,105,205,32.3,50.0,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
Afghanistan,7 wickets,111,180,31.3,50.0,v Netherlands,Lucknow,3 Nov 2023,ODI # 4691
Bangladesh,6 wickets,92,157,34.4,50.0,v Afghanistan,Dharamsala,7 Oct 2023,ODI # 4660
India,6 wickets,52,200,41.2,50.0,v Australia,Chennai,8 Oct 2023,ODI # 4662
Pakistan,6 wickets,10,345,48.2,50.0,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Australia,6 wickets,42,241,43.0,50.0,v India,Ahmedabad,19 Nov 2023,ODI # 4705
Australia,5 wickets,88,210,35.2,50.0,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
Sri Lanka,5 wickets,10,263,48.2,50.0,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
New Zealand,5 wickets,160,172,23.2,50.0,v Sri Lanka,Bengaluru,9 Nov 2023,ODI # 4698
South Africa,5 wickets,15,245,47.3,50.0,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
India,4 wickets,12,274,48.0,50.0,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
Bangladesh,3 wickets,53,280,41.1,50.0,v Sri Lanka,Delhi,6 Nov 2023,ODI # 4695
Australia,3 wickets,19,292,46.5,50.0,v Afghanistan,Wankhede,7 Nov 2023,ODI # 4696
Australia,3 wickets,16,213,47.2,50.0,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
