Player,Runs,Mins,Balls,4s,6s,4+6,SR,Team,Opposition,Ground,Match Date,Scorecard
Najmul Hossain Shanto,90,163,101,12,-,48,89.1,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
MDKJ Perera,51,46,28,9,2,48,182.14,Sri Lanka,v New Zealand,Bengaluru,09 Nov 2023,ODI # 4698
V Kohli,117,149,113,9,2,48,103.53,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
TM Head,62,62,48,9,2,48,129.16,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
SA Edwards,78,102,69,10,1,46,113.04,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
AK Markram,91,151,93,7,3,46,97.84,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
Azmatullah Omarzai,97,173,107,7,3,46,90.65,Afghanistan,v South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
KL Rahul,97,180,115,8,2,44,84.34,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
V Kohli,95,154,104,8,2,44,91.34,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
V Kohli,88,139,94,11,-,44,93.61,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
RG Sharma,61,74,54,8,2,44,112.96,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
Saud Shakeel,68,84,52,9,1,42,130.76,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
MD Shanaka,68,86,62,6,3,42,109.67,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
Rahmanullah Gurbaz,65,91,53,9,1,42,122.64,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
SPD Smith,71,88,68,9,1,42,104.41,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
Azmatullah Omarzai,73,80,63,6,3,42,115.87,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
WA Young,70,106,80,7,2,40,87.5,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
Litton Das,76,99,66,7,2,40,115.15,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
GD Phillips,71,109,80,4,4,40,88.75,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
