Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,Scorecard
Abdullah Shafique,113,150,103,10,3,109.7,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Mahmudullah,111,150,111,11,4,100.0,Bangladesh,v South Africa,Wankhede,24 Oct 2023,ODI # 4680
Q de Kock,109,147,106,8,5,102.83,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
H Klaasen,109,119,67,12,4,162.68,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
TM Head,109,94,67,10,7,162.68,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
HE van der Dussen,108,161,110,13,2,98.18,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
S Samarawickrama,108,139,89,11,2,121.34,Sri Lanka,v Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
R Ravindra,108,170,94,15,1,114.89,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
KIC Asalanka,108,159,105,6,5,102.85,Sri Lanka,v Bangladesh,Delhi,06 Nov 2023,ODI # 4695
BA Stokes,108,136,84,6,6,128.57,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
AK Markram,106,84,54,14,3,196.29,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
GJ Maxwell,106,53,44,9,8,240.9,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
SS Iyer,105,114,70,4,8,150.0,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
DA Warner,104,182,93,11,3,111.82,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
V Kohli,103*,113,97,6,4,106.18,India,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
KL Rahul,102,98,64,11,4,159.37,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
V Kohli,101*,195,121,10,-,83.47,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
DA Miller,101,138,116,8,5,87.06,South Africa,v Australia,Eden Gardens,16 Nov 2023,ODI # 4704
Q de Kock,100,140,84,12,3,119.04,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
KL Rahul,97*,180,115,8,2,84.34,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
Azmatullah Omarzai,97*,173,107,7,3,90.65,Afghanistan,v South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
V Kohli,95,154,104,8,2,91.34,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
KS Williamson,95,111,79,10,2,120.25,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
Shubman Gill,92,136,92,11,2,100.0,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
S Samarawickrama,91*,168,107,7,-,85.04,Sri Lanka,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
AK Markram,91,151,93,7,3,97.84,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
H Klaasen,90,94,49,2,8,183.67,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
Najmul Hossain Shanto,90,163,101,12,-,89.1,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
DJ Mitchell,89*,103,67,6,4,132.83,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
V Kohli,88,139,94,11,-,93.61,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
Ibrahim Zadran,87,146,113,10,-,76.99,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
RG Sharma,87,162,101,10,3,86.13,India,v England,Lucknow,29 Oct 2023,ODI # 4686
DJ Malan,87,92,74,10,2,117.56,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
RG Sharma,86,91,63,6,6,136.5,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
V Kohli,85,171,116,6,-,73.27,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
RR Hendricks,85,111,75,9,3,113.33,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
BA Stokes,84,85,76,11,2,110.52,England,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
JE Root,82,107,68,8,1,120.58,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
SS Iyer,82,84,56,3,6,146.42,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
Shakib Al Hasan,82,128,65,12,2,126.15,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
DA Warner,81,77,65,5,6,124.61,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
Fakhar Zaman,81,126,74,3,7,109.45,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
Shubman Gill,80*,116,66,8,3,121.21,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Hashmatullah Shahidi,80,128,88,8,1,90.9,Afghanistan,v India,Delhi,11 Oct 2023,ODI # 4666
Rahmanullah Gurbaz,80,87,57,8,4,140.35,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
KIC Asalanka,79,83,65,8,4,121.53,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
KS Williamson,78*,158,107,8,1,72.89,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
SA Edwards,78*,102,69,10,1,113.04,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
MDKJ Perera,78,123,82,12,-,95.12,Sri Lanka,v Australia,Lucknow,16 Oct 2023,ODI # 4671
Rahmat Shah,77*,129,84,5,2,91.66,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
P Nissanka,77*,110,83,7,2,92.77,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
JE Root,77,140,86,4,1,89.53,England,v New Zealand,Ahmedabad,05 Oct 2023,ODI # 4658
SS Iyer,77,101,87,7,2,88.5,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
HE van der Dussen,76*,141,95,6,1,80.0,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
BKG Mendis,76,55,42,4,8,180.95,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
Litton Das,76,99,66,7,2,115.15,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
M Jansen,75*,72,42,3,6,178.57,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
R Ravindra,75,133,87,6,1,86.2,New Zealand,v India,Dharamsala,22 Oct 2023,ODI # 4678
Babar Azam,74,121,92,4,1,80.43,Pakistan,v Afghanistan,Chennai,23 Oct 2023,ODI # 4679
Towhid Hridoy,74,121,79,5,2,93.67,Bangladesh,v Australia,Pune,11 Nov 2023,ODI # 4700
Azmatullah Omarzai,73*,80,63,6,3,115.87,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
GD Phillips,71,109,80,4,4,88.75,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
